schema_name,table_name,column_name,Dtype,nb_rows,null_count,percentage,key2,target,target_label,example,comments
mimiciii,admissions,row_id,integer,58976.0,0.0,100.0,,,,"[21, 22, 23, 24, 25]",
mimiciii,admissions,subject_id,integer,58976.0,0.0,100.0,admissions_fk_subject_id,patients,subject_id,"[22, 23, 24, 25]",
mimiciii,admissions,hadm_id,integer,58976.0,0.0,100.0,,,,"[165315, 152223, 124321, 161859, 129635]",
mimiciii,admissions,admittime,timestamp without time zone,58976.0,0.0,100.0,,,,"[numpy.datetime64('2196-04-09T12:26:00.000000000'), numpy.datetime64('2153-09-03T07:15:00.000000000'), numpy.datetime64('2157-10-18T19:34:00.000000000'), numpy.datetime64('2139-06-06T16:14:00.000000000'), numpy.datetime64('2160-11-02T02:06:00.000000000')]",
mimiciii,admissions,dischtime,timestamp without time zone,58976.0,0.0,100.0,,,,"[numpy.datetime64('2196-04-10T15:54:00.000000000'), numpy.datetime64('2153-09-08T19:10:00.000000000'), numpy.datetime64('2157-10-25T14:00:00.000000000'), numpy.datetime64('2139-06-09T12:48:00.000000000'), numpy.datetime64('2160-11-05T14:55:00.000000000')]",
mimiciii,admissions,deathtime,timestamp without time zone,58976.0,531.8652396965027,99.09816664457321,,,,[numpy.datetime64('NaT')],
mimiciii,admissions,admission_type,character varying,58976.0,0.0,100.0,,,,"['EMERGENCY', 'ELECTIVE']",
mimiciii,admissions,admission_location,character varying,58976.0,0.0,100.0,,,,"['EMERGENCY ROOM ADMIT', 'PHYS REFERRAL/NORMAL DELI', 'TRANSFER FROM HOSP/EXTRAM']",
mimiciii,admissions,discharge_location,character varying,58976.0,0.0,100.0,,,,"['DISC-TRAN CANCER/CHLDRN H', 'HOME HEALTH CARE', 'HOME']",
mimiciii,admissions,insurance,character varying,58976.0,0.0,100.0,,,,"['Private', 'Medicare']",
mimiciii,admissions,language,character varying,58976.0,253.67544021606446,99.56986665725708,,,,"[None, 'ENGL']",
mimiciii,admissions,religion,character varying,58976.0,4.462517350763083,99.99243333330378,,,,"['UNOBTAINABLE', 'CATHOLIC', 'PROTESTANT QUAKER']",
mimiciii,admissions,marital_status,character varying,58976.0,103.54220123291016,99.82443332672119,,,,"['MARRIED', 'SINGLE']",
mimiciii,admissions,ethnicity,character varying,58976.0,0.0,100.0,,,,['WHITE'],
mimiciii,admissions,edregtime,timestamp without time zone,58976.0,280.9616568851471,99.52360001206398,,,,"[numpy.datetime64('2196-04-09T10:06:00.000000000'), numpy.datetime64('NaT'), numpy.datetime64('2160-11-02T01:01:00.000000000')]",
mimiciii,admissions,edouttime,timestamp without time zone,58976.0,280.9616568851471,99.52360001206398,,,,"[numpy.datetime64('2196-04-09T13:24:00.000000000'), numpy.datetime64('NaT'), numpy.datetime64('2160-11-02T04:27:00.000000000')]",
mimiciii,admissions,diagnosis,character varying,58976.0,0.2162453378830105,99.99963333332562,,,,"['BENZODIAZEPINE OVERDOSE', 'CORONARY ARTERY DISEASE\\CORONARY ARTERY BYPASS GRAFT/SDA', 'BRAIN MASS', 'INTERIOR MYOCARDIAL INFARCTION', 'ACUTE CORONARY SYNDROME']",
mimiciii,admissions,hospital_expire_flag,smallint,58976.0,0.0,100.0,,,,[0],
mimiciii,admissions,has_chartevents_data,smallint,58976.0,0.0,100.0,,,,[1],
mimiciii,callout,row_id,integer,34499.0,0.0,100.0,,,,"[402, 403, 404, 405, 157]",
mimiciii,callout,subject_id,integer,34499.0,0.0,100.0,callout_fk_subject_id,patients,subject_id,"[854, 864, 867, 306]",
mimiciii,callout,hadm_id,integer,34499.0,0.0,100.0,callout_fk_hadm_id,admissions,hadm_id,"[175684, 138624, 184298, 167129]",
mimiciii,callout,submit_wardid,integer,34499.0,0.0,100.0,,,,"[52, 15, 12, 7, 57]",
mimiciii,callout,submit_careunit,character varying,34499.0,293.27599238693716,99.14990001916885,,,,[None],
mimiciii,callout,curr_wardid,integer,34499.0,0.0,100.0,,,,"[29, 55, 17, 3]",
mimiciii,callout,curr_careunit,character varying,34499.0,0.0,100.0,,,,"['MICU', 'CSRU', 'CCU', 'SICU']",
mimiciii,callout,callout_wardid,integer,34499.0,0.0,100.0,,,,"[1, 55, 17, 44]",
mimiciii,callout,callout_service,character varying,34499.0,0.0,100.0,,,,"['MED', 'CSURG', 'CCU', 'NSURG']",
mimiciii,callout,request_tele,smallint,34499.0,0.0,100.0,,,,"[0, 1]",
mimiciii,callout,request_resp,smallint,34499.0,0.0,100.0,,,,"[0, 1]",
mimiciii,callout,request_cdiff,smallint,34499.0,0.0,100.0,,,,[0],
mimiciii,callout,request_mrsa,smallint,34499.0,0.0,100.0,,,,[0],
mimiciii,callout,request_vre,smallint,34499.0,0.0,100.0,,,,[0],
mimiciii,callout,callout_status,character varying,34499.0,0.0,100.0,,,,['Inactive'],
mimiciii,callout,callout_outcome,character varying,34499.0,0.0,100.0,,,,['Discharged'],
mimiciii,callout,discharge_wardid,integer,34499.0,45.73417225509882,99.86743333935738,,,,"[29.0, 55.0, 17.0, 3.0]",
mimiciii,callout,acknowledge_status,character varying,34499.0,0.0,100.0,,,,['Acknowledged'],
mimiciii,callout,createtime,timestamp without time zone,34499.0,0.0,100.0,,,,"[numpy.datetime64('2146-10-05T13:16:55.000000000'), numpy.datetime64('2114-11-28T08:31:39.000000000'), numpy.datetime64('2114-11-30T10:24:25.000000000'), numpy.datetime64('2136-12-29T08:45:42.000000000'), numpy.datetime64('2199-09-18T11:47:47.000000000')]",
mimiciii,callout,updatetime,timestamp without time zone,34499.0,0.0,100.0,,,,"[numpy.datetime64('2146-10-05T13:16:55.000000000'), numpy.datetime64('2114-11-28T09:42:08.000000000'), numpy.datetime64('2114-12-01T09:06:18.000000000'), numpy.datetime64('2136-12-29T10:17:16.000000000'), numpy.datetime64('2199-09-18T11:47:47.000000000')]",
mimiciii,callout,acknowledgetime,timestamp without time zone,34499.0,17.98547853026539,99.94786666706204,,,,"[numpy.datetime64('2146-10-05T13:24:00.000000000'), numpy.datetime64('2114-11-28T09:43:08.000000000'), numpy.datetime64('2114-12-01T12:26:05.000000000'), numpy.datetime64('2136-12-29T10:33:51.000000000'), numpy.datetime64('2199-09-18T11:58:33.000000000')]",
mimiciii,callout,outcometime,timestamp without time zone,34499.0,0.0,100.0,,,,"[numpy.datetime64('2146-10-05T18:55:22.000000000'), numpy.datetime64('2114-11-28T12:10:02.000000000'), numpy.datetime64('2114-12-01T21:55:05.000000000'), numpy.datetime64('2136-12-29T18:10:02.000000000'), numpy.datetime64('2199-09-18T15:10:02.000000000')]",
mimiciii,callout,firstreservationtime,timestamp without time zone,34499.0,192.38942081093788,99.44233334064482,,,,"[numpy.datetime64('2146-10-05T15:27:44.000000000'), numpy.datetime64('NaT')]",
mimiciii,callout,currentreservationtime,timestamp without time zone,34499.0,333.3983454096317,99.03359997272491,,,,[None],
mimiciii,caregivers,row_id,integer,7567.0,0.0,100.0,,,,"[2228, 2229, 2230, 2231, 2232]",
mimiciii,caregivers,cgid,integer,7567.0,0.0,100.0,,,,"[16174, 16175, 16176, 16177, 16178]",
mimiciii,caregivers,label,character varying,7567.0,0.460000005569309,99.99392097257078,,,,"['RO', 'Res', 'RT']",
mimiciii,caregivers,description,character varying,7567.0,24.119999225735665,99.6812475323677,,,,"['Read Only', 'Resident/Fellow/PA/NP', 'Respiratory']",
mimiciii,chartevents,row_id,integer,,,,,,,"[34327308, 34344547, 34344548, 34353504, 34333251]",
mimiciii,chartevents,subject_id,integer,,,,chartevents_fk_subject_id,patients,subject_id,"[12, 21, 22, 13]",
mimiciii,chartevents,hadm_id,integer,,,,chartevents_fk_hadm_id,admissions,hadm_id,"[112213, 109451, 165315, 143045]",
mimiciii,chartevents,icustay_id,integer,,,,chartevents_fk_icustay_id,icustays,icustay_id,"[232669, 217847, 204798, 263738]",
mimiciii,chartevents,itemid,integer,,,,chartevents_fk_itemid,d_items,itemid,"[26, 2, 3, 1]",
mimiciii,chartevents,charttime,timestamp without time zone,,,,,,,"[numpy.datetime64('2104-08-09T15:00:00.000000000'), numpy.datetime64('2134-09-13T15:00:00.000000000'), numpy.datetime64('2196-04-09T13:30:00.000000000'), numpy.datetime64('2167-01-09T17:00:00.000000000')]",
mimiciii,chartevents,storetime,timestamp without time zone,,,,,,,"[numpy.datetime64('2104-08-09T15:26:00.000000000'), numpy.datetime64('2134-09-13T15:00:00.000000000'), numpy.datetime64('2196-04-09T13:53:00.000000000'), numpy.datetime64('2167-01-09T17:44:00.000000000')]",
mimiciii,chartevents,cgid,integer,,,,chartevents_fk_cgid,caregivers,cgid,"[15331, 21570, 15012, 20670]",
mimiciii,chartevents,value,character varying,,,,,,,"['225.5', None, '33%', '336']",
mimiciii,chartevents,valuenum,double precision,,,,,,,"[225.5, nan, 336.0]",
mimiciii,chartevents,valueuom,character varying,,,,,,,"['mmHg', None]",
mimiciii,chartevents,warning,integer,,,,,,,[None],
mimiciii,chartevents,error,integer,,,,,,,[None],
mimiciii,chartevents,resultstatus,character varying,,,,,,,[None],
mimiciii,chartevents,stopped,character varying,,,,,,,"['NotStopd', ""D/C'd""]",
mimiciii,chartevents_1,row_id,integer,22204.0,0.0,100.0,,,,"[34327308, 34344547, 34344548, 34353504, 34333251]",
mimiciii,chartevents_1,subject_id,integer,22204.0,0.0,100.0,chartevents_fk_subject_id,patients,subject_id,"[12, 21, 22, 13]",
mimiciii,chartevents_1,hadm_id,integer,22204.0,0.0,100.0,chartevents_fk_hadm_id,admissions,hadm_id,"[112213, 109451, 165315, 143045]",
mimiciii,chartevents_1,icustay_id,integer,22204.0,0.06000000097905286,99.9997297784139,chartevents_fk_icustay_id,icustays,icustay_id,"[232669, 217847, 204798, 263738]",
mimiciii,chartevents_1,itemid,integer,22204.0,0.0,100.0,chartevents_fk_itemid,d_items,itemid,"[26, 2, 3, 1]",
mimiciii,chartevents_1,charttime,timestamp without time zone,22204.0,0.0,100.0,,,,"[numpy.datetime64('2104-08-09T15:00:00.000000000'), numpy.datetime64('2134-09-13T15:00:00.000000000'), numpy.datetime64('2196-04-09T13:30:00.000000000'), numpy.datetime64('2167-01-09T17:00:00.000000000')]",
mimiciii,chartevents_1,storetime,timestamp without time zone,22204.0,0.0,100.0,,,,"[numpy.datetime64('2104-08-09T15:26:00.000000000'), numpy.datetime64('2134-09-13T15:00:00.000000000'), numpy.datetime64('2196-04-09T13:53:00.000000000'), numpy.datetime64('2167-01-09T17:44:00.000000000')]",
mimiciii,chartevents_1,cgid,integer,22204.0,0.0,100.0,chartevents_fk_cgid,caregivers,cgid,"[15331, 21570, 15012, 20670]",
mimiciii,chartevents_1,value,character varying,22204.0,31.839999675154687,99.85660241544247,,,,"['225.5', None, '33%', '336']",
mimiciii,chartevents_1,valuenum,double precision,22204.0,93.03000210285187,99.58102142810822,,,,"[225.5, nan, 336.0]",
mimiciii,chartevents_1,valueuom,character varying,22204.0,166.14000235557558,99.25175642967224,,,,"['mmHg', None]",
mimiciii,chartevents_1,warning,integer,22204.0,222.04,99.0,,,,[None],
mimiciii,chartevents_1,error,integer,22204.0,222.04,99.0,,,,[None],
mimiciii,chartevents_1,resultstatus,character varying,22204.0,222.04,99.0,,,,[None],
mimiciii,chartevents_1,stopped,character varying,22204.0,0.2700000076368451,99.99878400284797,,,,"['NotStopd', ""D/C'd""]",
mimiciii,chartevents_2,row_id,integer,737224.0,0.0,100.0,,,,"[34316001, 34330238, 34331288, 34357335, 34345575]",
mimiciii,chartevents_2,subject_id,integer,737224.0,0.0,100.0,chartevents_fk_subject_id,patients,subject_id,"[9, 12, 25, 21]",
mimiciii,chartevents_2,hadm_id,integer,737224.0,0.0,100.0,chartevents_fk_hadm_id,admissions,hadm_id,"[150750, 112213, 129635, 109451]",
mimiciii,chartevents_2,icustay_id,integer,737224.0,5.652050649044104,99.99923333333572,chartevents_fk_icustay_id,icustays,icustay_id,"[220597, 232669, 203487, 217847]",
mimiciii,chartevents_2,itemid,integer,737224.0,0.0,100.0,chartevents_fk_itemid,d_items,itemid,[27],
mimiciii,chartevents_2,charttime,timestamp without time zone,737224.0,0.0,100.0,,,,"[numpy.datetime64('2149-11-11T00:00:00.000000000'), numpy.datetime64('2104-08-12T09:00:00.000000000'), numpy.datetime64('2104-08-13T19:00:00.000000000'), numpy.datetime64('2160-11-03T19:00:00.000000000'), numpy.datetime64('2134-09-14T15:00:00.000000000')]",
mimiciii,chartevents_2,storetime,timestamp without time zone,737224.0,0.0,100.0,,,,"[numpy.datetime64('2149-11-11T00:32:00.000000000'), numpy.datetime64('2104-08-12T09:07:00.000000000'), numpy.datetime64('2104-08-13T19:07:00.000000000'), numpy.datetime64('2160-11-03T19:11:00.000000000'), numpy.datetime64('2134-09-14T16:56:00.000000000')]",
mimiciii,chartevents_2,cgid,integer,737224.0,0.0,100.0,chartevents_fk_cgid,caregivers,cgid,"[16273, 17609, 18592, 19525]",
mimiciii,chartevents_2,value,character varying,737224.0,5.406309447078965,99.99926666665122,,,,"['Soft Distended', 'Obese', 'Soft']",
mimiciii,chartevents_2,valuenum,double precision,737224.0,7372.24,99.0,,,,[None],
mimiciii,chartevents_2,valueuom,character varying,737224.0,7372.24,99.0,,,,[None],
mimiciii,chartevents_2,warning,integer,737224.0,7372.24,99.0,,,,[None],
mimiciii,chartevents_2,error,integer,737224.0,7372.24,99.0,,,,[None],
mimiciii,chartevents_2,resultstatus,character varying,737224.0,7372.24,99.0,,,,[None],
mimiciii,chartevents_2,stopped,character varying,737224.0,0.0,100.0,,,,['NotStopd'],
mimiciii,chartevents_3,row_id,integer,56235.0,0.0,100.0,,,,"[34345522, 34345547, 34345576, 34345054, 34345085]",
mimiciii,chartevents_3,subject_id,integer,56235.0,0.0,100.0,chartevents_fk_subject_id,patients,subject_id,[21],
mimiciii,chartevents_3,hadm_id,integer,56235.0,0.0,100.0,chartevents_fk_hadm_id,admissions,hadm_id,[109451],
mimiciii,chartevents_3,icustay_id,integer,56235.0,0.0,100.0,chartevents_fk_icustay_id,icustays,icustay_id,[217847],
mimiciii,chartevents_3,itemid,integer,56235.0,0.0,100.0,chartevents_fk_itemid,d_items,itemid,[29],
mimiciii,chartevents_3,charttime,timestamp without time zone,56235.0,0.0,100.0,,,,"[numpy.datetime64('2134-09-14T13:00:00.000000000'), numpy.datetime64('2134-09-14T14:00:00.000000000'), numpy.datetime64('2134-09-14T15:00:00.000000000'), numpy.datetime64('2134-09-14T02:00:00.000000000'), numpy.datetime64('2134-09-14T03:00:00.000000000')]",
mimiciii,chartevents_3,storetime,timestamp without time zone,56235.0,0.0,100.0,,,,"[numpy.datetime64('2134-09-14T13:05:00.000000000'), numpy.datetime64('2134-09-14T14:03:00.000000000'), numpy.datetime64('2134-09-14T15:03:00.000000000'), numpy.datetime64('2134-09-14T02:21:00.000000000'), numpy.datetime64('2134-09-14T03:04:00.000000000')]",
mimiciii,chartevents_3,cgid,integer,56235.0,0.0,100.0,chartevents_fk_cgid,caregivers,cgid,"[19525, 20818]",
mimiciii,chartevents_3,value,character varying,56235.0,1.6683049592189492,99.99703333340585,,,,"['-54', '-55', '-53']",
mimiciii,chartevents_3,valuenum,double precision,56235.0,2.268144900421612,99.99596666684373,,,,"[-54.0, -55.0, -53.0]",
mimiciii,chartevents_3,valueuom,character varying,56235.0,562.35,99.0,,,,[None],
mimiciii,chartevents_3,warning,integer,56235.0,562.35,99.0,,,,[None],
mimiciii,chartevents_3,error,integer,56235.0,562.35,99.0,,,,[None],
mimiciii,chartevents_3,resultstatus,character varying,56235.0,562.35,99.0,,,,[None],
mimiciii,chartevents_3,stopped,character varying,56235.0,0.0,100.0,,,,['NotStopd'],
mimiciii,chartevents_4,row_id,integer,1442406.0,0.0,100.0,,,,"[34335415, 34324714, 34348629, 34306347, 34330239]",
mimiciii,chartevents_4,subject_id,integer,1442406.0,0.0,100.0,chartevents_fk_subject_id,patients,subject_id,"[13, 11, 21, 3, 12]",
mimiciii,chartevents_4,hadm_id,integer,1442406.0,0.0,100.0,chartevents_fk_hadm_id,admissions,hadm_id,"[143045, 194540, 111970, 145834, 112213]",
